my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
4,1,True
4,2,True
5,2,True
5,3,True
6,3,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
9,6,True
10,6,True
10,7,True
11,7,True
11,8,True
12,8,True
13,8,True
13,9,True
14,9,True
14,10,True
15,10,True
15,11,True
15,12,True
16,12,True
16,13,True
16,14,True
16,15,True
16,16,True
16,17,True
16,18,True
17,18,True
17,19,True
18,19,True
19,19,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
25,21,True
