my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
3,3,True
3,4,True
3,5,True
4,5,True
4,6,True
5,6,True
5,7,True
5,8,True
5,9,True
6,9,True
6,10,True
7,10,True
7,11,True
7,12,True
8,12,True
9,12,True
10,12,True
10,13,True
11,13,True
11,14,True
11,15,True
12,15,True
13,15,True
13,16,True
14,16,True
14,17,True
14,18,True
14,19,True
14,20,True
15,20,True
16,20,True
17,20,True
18,20,True
18,21,True
19,21,True
19,22,True
20,22,True
20,23,True
21,23,True
22,23,True
22,24,True
23,24,True
24,24,True
25,24,True
26,24,True
