my_score,opponent_score,win
0,0,True
26,22,True
26,23,True
26,24,True
26,25,True
26,26,True
27,26,True
27,27,True
28,27,True
29,27,True
29,28,True
30,28,True
31,28,True
32,28,True
33,28,True
33,29,True
33,30,True
34,30,True
35,30,True
35,31,True
36,31,True
36,32,True
37,32,True
37,33,True
37,34,True
38,34,True
39,34,True
39,35,True
40,35,True
40,36,True
41,36,True
41,37,True
41,38,True
42,38,True
42,39,True
43,39,True
44,39,True
45,39,True
45,40,True
46,40,True
46,41,True
46,42,True
47,42,True
47,43,True
48,43,True
49,43,True
49,44,True
50,44,True
