my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
1,4,True
2,4,True
2,5,True
3,5,True
3,6,True
4,6,True
5,6,True
5,7,True
6,7,True
6,8,True
6,9,True
7,9,True
7,10,True
8,10,True
8,11,True
9,11,True
9,12,True
10,12,True
10,13,True
11,13,True
11,14,True
12,14,True
13,14,True
14,14,True
14,15,True
15,15,True
16,15,True
17,15,True
18,15,True
18,16,True
18,17,True
19,17,True
19,18,True
20,18,True
20,19,True
20,20,True
20,21,True
21,21,True
22,21,True
23,21,True
24,21,True
25,21,True
