my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
1,4,True
2,4,True
3,4,True
3,5,True
4,5,True
4,6,True
5,6,True
6,6,True
7,6,True
7,7,True
8,7,True
8,8,True
9,8,True
10,8,True
11,8,True
12,8,True
13,8,True
14,8,True
14,9,True
15,9,True
15,10,True
16,10,True
16,11,True
16,12,True
16,13,True
16,14,True
17,14,True
17,15,True
17,16,True
18,16,True
18,17,True
19,17,True
19,18,True
20,18,True
20,19,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
24,21,True
25,21,True
