my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
4,1,True
4,2,True
5,2,True
5,3,True
5,4,True
6,4,True
7,4,True
7,5,True
8,5,True
9,5,True
10,5,True
10,6,True
10,7,True
11,7,True
11,8,True
11,9,True
12,9,True
12,10,True
12,11,True
13,11,True
14,11,True
14,12,True
14,13,True
15,13,True
16,13,True
16,14,True
17,14,True
17,15,True
17,16,True
18,16,True
18,17,True
18,18,True
19,18,True
20,18,True
20,19,True
20,20,True
21,20,True
21,21,True
22,21,True
22,22,True
23,22,True
23,23,True
24,23,True
24,24,True
25,24,True
26,24,True
