my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
1,4,True
2,4,True
3,4,True
4,4,True
4,5,True
5,5,True
5,6,True
5,7,True
5,8,True
6,8,True
6,9,True
7,9,True
8,9,True
8,10,True
9,10,True
10,10,True
10,11,True
10,12,True
10,13,True
10,14,True
10,15,True
11,15,True
11,16,True
12,16,True
12,17,True
12,18,True
13,18,True
13,19,True
14,19,True
15,19,True
15,20,True
16,20,True
16,21,True
17,21,True
18,21,True
19,21,True
19,22,True
19,23,True
20,23,True
21,23,True
22,23,True
22,24,True
23,24,True
24,24,True
25,24,True
25,25,True
25,26,True
26,26,True
26,27,True
27,27,True
28,27,True
28,28,True
28,29,True
29,29,True
29,30,True
30,30,True
30,31,True
31,31,True
31,32,True
32,32,True
32,33,True
33,33,True
33,34,True
34,34,True
35,34,True
35,35,True
36,35,True
37,35,True
