my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
5,3,True
6,3,True
6,4,True
6,5,True
7,5,True
7,6,True
7,7,True
8,7,True
9,7,True
10,7,True
10,8,True
11,8,True
11,9,True
12,9,True
12,10,True
12,11,True
13,11,True
13,12,True
14,12,True
14,13,True
15,13,True
15,14,True
16,14,True
17,14,True
17,15,True
18,15,True
18,16,True
19,16,True
20,16,True
20,17,True
20,18,True
20,19,True
20,20,True
21,20,True
21,21,True
21,22,True
22,22,True
22,23,True
23,23,True
23,24,True
24,24,True
24,25,True
25,25,True
26,25,True
27,25,True
