my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
2,2,True
2,3,True
2,4,True
2,5,True
3,5,True
3,6,True
3,7,True
4,7,True
5,7,True
6,7,True
7,7,True
8,7,True
8,8,True
9,8,True
9,9,True
9,10,True
10,10,True
10,11,True
11,11,True
11,12,True
11,13,True
12,13,True
12,14,True
12,15,True
13,15,True
13,16,True
13,17,True
13,18,True
13,19,True
14,19,True
14,20,True
15,20,True
16,20,True
17,20,True
17,21,True
17,22,True
18,22,True
19,22,True
19,23,True
20,23,True
20,24,True
21,24,True
22,24,True
23,24,True
24,24,True
24,25,True
25,25,True
26,25,True
26,26,True
27,26,True
28,26,True
