my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
0,3,True
1,3,True
1,4,True
2,4,True
2,5,True
3,5,True
3,6,True
4,6,True
5,6,True
6,6,True
6,7,True
7,7,True
8,7,True
8,8,True
9,8,True
10,8,True
11,8,True
11,9,True
12,9,True
13,9,True
13,10,True
14,10,True
15,10,True
16,10,True
17,10,True
17,11,True
18,11,True
18,12,True
19,12,True
19,13,True
20,13,True
20,14,True
20,15,True
21,15,True
21,16,True
22,16,True
22,17,True
23,17,True
23,18,True
24,18,True
24,19,True
24,20,True
24,21,True
24,22,True
25,22,True
