my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
3,1,True
4,1,True
4,2,True
5,2,True
5,3,True
5,4,True
5,5,True
6,5,True
7,5,True
7,6,True
7,7,True
8,7,True
8,8,True
8,9,True
9,9,True
9,10,True
9,11,True
9,12,True
10,12,True
10,13,True
10,14,True
10,15,True
10,16,True
10,17,True
11,17,True
12,17,True
12,18,True
13,18,True
14,18,True
14,19,True
15,19,True
16,19,True
16,20,True
17,20,True
18,20,True
19,20,True
19,21,True
20,21,True
20,22,True
21,22,True
21,23,True
22,23,True
22,24,True
23,24,True
24,24,True
25,24,True
25,25,True
26,25,True
27,25,True
