my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
5,2,True
5,3,True
6,3,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
8,7,True
9,7,True
9,8,True
10,8,True
10,9,True
10,10,True
11,10,True
12,10,True
13,10,True
13,11,True
14,11,True
14,12,True
15,12,True
15,13,True
15,14,True
16,14,True
17,14,True
17,15,True
18,15,True
18,16,True
19,16,True
19,17,True
20,17,True
20,18,True
20,19,True
20,20,True
21,20,True
21,21,True
22,21,True
23,21,True
24,21,True
25,21,True
