my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
2,3,True
3,3,True
3,4,True
3,5,True
3,6,True
3,7,True
3,8,True
4,8,True
4,9,True
4,10,True
5,10,True
5,11,True
6,11,True
7,11,True
7,12,True
8,12,True
9,12,True
9,13,True
10,13,True
10,14,True
10,15,True
10,16,True
11,16,True
12,16,True
13,16,True
14,16,True
14,17,True
14,18,True
15,18,True
16,18,True
17,18,True
18,18,True
18,19,True
18,20,True
18,21,True
19,21,True
20,21,True
21,21,True
21,22,True
22,22,True
22,23,True
23,23,True
24,23,True
25,23,True
