my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
3,2,True
4,2,True
5,2,True
5,3,True
6,3,True
7,3,True
7,4,True
7,5,True
7,6,True
8,6,True
9,6,True
9,7,True
10,7,True
10,8,True
11,8,True
11,9,True
11,10,True
11,11,True
11,12,True
12,12,True
12,13,True
12,14,True
13,14,True
14,14,True
14,15,True
15,15,True
16,15,True
16,16,True
17,16,True
17,17,True
18,17,True
19,17,True
20,17,True
20,18,True
20,19,True
20,20,True
20,21,True
21,21,True
22,21,True
22,22,True
23,22,True
24,22,True
25,22,True
