my_score,opponent_score,win
0,0,True
26,23,True
27,23,True
27,24,True
28,24,True
28,25,True
29,25,True
30,25,True
30,26,True
30,27,True
30,28,True
31,28,True
32,28,True
32,29,True
32,30,True
32,31,True
33,31,True
34,31,True
34,32,True
35,32,True
35,33,True
35,34,True
35,35,True
35,36,True
36,36,True
36,37,True
37,37,True
37,38,True
38,38,True
39,38,True
39,39,True
40,39,True
41,39,True
42,39,True
42,40,True
42,41,True
43,41,True
43,42,True
44,42,True
45,42,True
46,42,True
47,42,True
47,43,True
47,44,True
48,44,True
48,45,True
49,45,True
49,46,True
50,46,True
