my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
2,3,True
2,4,True
2,5,True
2,6,True
3,6,True
3,7,True
3,8,True
3,9,True
3,10,True
4,10,True
4,11,True
5,11,True
5,12,True
5,13,True
5,14,True
5,15,True
5,16,True
6,16,True
7,16,True
8,16,True
8,17,True
8,18,True
9,18,True
10,18,True
11,18,True
12,18,True
12,19,True
13,19,True
14,19,True
15,19,True
16,19,True
17,19,True
17,20,True
17,21,True
18,21,True
19,21,True
19,22,True
20,22,True
21,22,True
22,22,True
23,22,True
24,22,True
25,22,True
