my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
3,1,True
3,2,True
3,3,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
6,6,True
7,6,True
7,7,True
8,7,True
8,8,True
9,8,True
9,9,True
9,10,True
9,11,True
10,11,True
10,12,True
10,13,True
11,13,True
11,14,True
11,15,True
12,15,True
12,16,True
13,16,True
13,17,True
14,17,True
14,18,True
14,19,True
15,19,True
16,19,True
17,19,True
18,19,True
19,19,True
19,20,True
20,20,True
20,21,True
21,21,True
22,21,True
23,21,True
23,22,True
24,22,True
24,23,True
25,23,True
