my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
4,1,True
5,1,True
5,2,True
6,2,True
6,3,True
7,3,True
7,4,True
8,4,True
9,4,True
10,4,True
11,4,True
11,5,True
12,5,True
13,5,True
13,6,True
14,6,True
14,7,True
14,8,True
14,9,True
15,9,True
15,10,True
15,11,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
18,14,True
18,15,True
19,15,True
19,16,True
19,17,True
20,17,True
20,18,True
20,19,True
21,19,True
21,20,True
22,20,True
23,20,True
23,21,True
24,21,True
25,21,True
