my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
4,1,True
4,2,True
4,3,True
5,3,True
6,3,True
7,3,True
8,3,True
9,3,True
10,3,True
11,3,True
12,3,True
12,4,True
13,4,True
13,5,True
13,6,True
14,6,True
15,6,True
16,6,True
16,7,True
16,8,True
17,8,True
17,9,True
18,9,True
19,9,True
19,10,True
19,11,True
19,12,True
19,13,True
19,14,True
19,15,True
19,16,True
19,17,True
19,18,True
20,18,True
20,19,True
21,19,True
22,19,True
23,19,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
