my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
0,3,True
0,4,True
1,4,True
2,4,True
3,4,True
4,4,True
5,4,True
5,5,True
6,5,True
7,5,True
7,6,True
7,7,True
8,7,True
9,7,True
9,8,True
9,9,True
10,9,True
10,10,True
11,10,True
12,10,True
12,11,True
13,11,True
14,11,True
15,11,True
16,11,True
17,11,True
17,12,True
18,12,True
18,13,True
18,14,True
18,15,True
19,15,True
20,15,True
20,16,True
21,16,True
21,17,True
22,17,True
22,18,True
22,19,True
23,19,True
23,20,True
23,21,True
24,21,True
25,21,True
