my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
4,1,True
4,2,True
5,2,True
6,2,True
6,3,True
6,4,True
6,5,True
7,5,True
7,6,True
7,7,True
7,8,True
7,9,True
8,9,True
9,9,True
10,9,True
10,10,True
10,11,True
11,11,True
11,12,True
12,12,True
12,13,True
13,13,True
13,14,True
14,14,True
14,15,True
14,16,True
15,16,True
16,16,True
17,16,True
18,16,True
19,16,True
20,16,True
20,17,True
20,18,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
23,21,True
23,22,True
23,23,True
24,23,True
25,23,True
