my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
2,3,True
2,4,True
3,4,True
4,4,True
4,5,True
5,5,True
5,6,True
6,6,True
6,7,True
6,8,True
7,8,True
7,9,True
7,10,True
8,10,True
9,10,True
9,11,True
10,11,True
10,12,True
11,12,True
11,13,True
12,13,True
13,13,True
14,13,True
15,13,True
16,13,True
16,14,True
17,14,True
17,15,True
18,15,True
18,16,True
19,16,True
19,17,True
19,18,True
20,18,True
21,18,True
21,19,True
22,19,True
23,19,True
23,20,True
24,20,True
24,21,True
24,22,True
25,22,True
