my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
4,2,True
4,3,True
5,3,True
5,4,True
5,5,True
5,6,True
5,7,True
5,8,True
5,9,True
6,9,True
7,9,True
8,9,True
9,9,True
9,10,True
10,10,True
10,11,True
11,11,True
12,11,True
13,11,True
14,11,True
15,11,True
15,12,True
16,12,True
17,12,True
17,13,True
17,14,True
18,14,True
18,15,True
19,15,True
19,16,True
19,17,True
19,18,True
20,18,True
21,18,True
21,19,True
21,20,True
22,20,True
23,20,True
24,20,True
24,21,True
24,22,True
25,22,True
