my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
3,1,True
4,1,True
5,1,True
6,1,True
7,1,True
8,1,True
8,2,True
9,2,True
9,3,True
9,4,True
9,5,True
10,5,True
10,6,True
10,7,True
11,7,True
12,7,True
12,8,True
13,8,True
14,8,True
15,8,True
15,9,True
15,10,True
15,11,True
16,11,True
17,11,True
17,12,True
17,13,True
17,14,True
18,14,True
19,14,True
19,15,True
19,16,True
20,16,True
21,16,True
22,16,True
23,16,True
23,17,True
23,18,True
23,19,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
