my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
2,2,True
2,3,True
3,3,True
3,4,True
3,5,True
4,5,True
4,6,True
5,6,True
6,6,True
6,7,True
7,7,True
8,7,True
9,7,True
10,7,True
11,7,True
11,8,True
12,8,True
12,9,True
12,10,True
12,11,True
13,11,True
14,11,True
15,11,True
15,12,True
16,12,True
17,12,True
17,13,True
18,13,True
19,13,True
20,13,True
20,14,True
21,14,True
21,15,True
21,16,True
22,16,True
23,16,True
23,17,True
23,18,True
24,18,True
24,19,True
24,20,True
24,21,True
25,21,True
