my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
4,2,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
7,5,True
7,6,True
7,7,True
7,8,True
8,8,True
8,9,True
8,10,True
9,10,True
10,10,True
11,10,True
12,10,True
13,10,True
13,11,True
13,12,True
14,12,True
15,12,True
15,13,True
15,14,True
15,15,True
15,16,True
16,16,True
17,16,True
17,17,True
18,17,True
18,18,True
19,18,True
20,18,True
21,18,True
21,19,True
22,19,True
22,20,True
22,21,True
23,21,True
24,21,True
25,21,True
