my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
3,2,True
3,3,True
3,4,True
4,4,True
4,5,True
4,6,True
4,7,True
4,8,True
5,8,True
6,8,True
6,9,True
6,10,True
6,11,True
6,12,True
7,12,True
8,12,True
9,12,True
9,13,True
9,14,True
10,14,True
10,15,True
11,15,True
11,16,True
11,17,True
12,17,True
13,17,True
14,17,True
14,18,True
15,18,True
16,18,True
16,19,True
17,19,True
18,19,True
18,20,True
19,20,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
25,21,True
