my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
3,3,True
4,3,True
5,3,True
6,3,True
7,3,True
7,4,True
8,4,True
8,5,True
8,6,True
8,7,True
9,7,True
10,7,True
11,7,True
11,8,True
11,9,True
12,9,True
13,9,True
14,9,True
15,9,True
15,10,True
15,11,True
16,11,True
16,12,True
16,13,True
17,13,True
17,14,True
18,14,True
19,14,True
20,14,True
20,15,True
20,16,True
20,17,True
20,18,True
20,19,True
20,20,True
20,21,True
21,21,True
22,21,True
23,21,True
23,22,True
23,23,True
24,23,True
24,24,True
24,25,True
25,25,True
26,25,True
27,25,True
