my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
2,2,True
2,3,True
2,4,True
3,4,True
4,4,True
5,4,True
5,5,True
5,6,True
5,7,True
6,7,True
6,8,True
7,8,True
7,9,True
7,10,True
8,10,True
9,10,True
10,10,True
11,10,True
12,10,True
12,11,True
13,11,True
13,12,True
13,13,True
13,14,True
14,14,True
14,15,True
14,16,True
15,16,True
15,17,True
15,18,True
16,18,True
17,18,True
17,19,True
18,19,True
19,19,True
20,19,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
24,22,True
24,23,True
24,24,True
24,25,True
25,25,True
26,25,True
26,26,True
26,27,True
27,27,True
28,27,True
29,27,True
