my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
1,4,True
1,5,True
1,6,True
1,7,True
2,7,True
2,8,True
3,8,True
4,8,True
4,9,True
5,9,True
5,10,True
5,11,True
5,12,True
6,12,True
7,12,True
8,12,True
9,12,True
9,13,True
10,13,True
11,13,True
12,13,True
13,13,True
14,13,True
14,14,True
15,14,True
16,14,True
17,14,True
18,14,True
18,15,True
19,15,True
19,16,True
19,17,True
20,17,True
20,18,True
20,19,True
20,20,True
21,20,True
21,21,True
22,21,True
23,21,True
23,22,True
24,22,True
25,22,True
