my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
2,4,True
3,4,True
3,5,True
3,6,True
4,6,True
4,7,True
5,7,True
5,8,True
6,8,True
7,8,True
8,8,True
8,9,True
8,10,True
8,11,True
9,11,True
10,11,True
11,11,True
11,12,True
11,13,True
11,14,True
12,14,True
13,14,True
13,15,True
13,16,True
14,16,True
14,17,True
15,17,True
15,18,True
15,19,True
15,20,True
15,21,True
16,21,True
16,22,True
17,22,True
18,22,True
19,22,True
19,23,True
20,23,True
21,23,True
22,23,True
23,23,True
23,24,True
24,24,True
25,24,True
25,25,True
25,26,True
26,26,True
27,26,True
27,27,True
28,27,True
28,28,True
29,28,True
29,29,True
29,30,True
30,30,True
31,30,True
31,31,True
31,32,True
32,32,True
33,32,True
34,32,True
