my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
3,1,True
4,1,True
5,1,True
5,2,True
5,3,True
5,4,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
9,6,True
10,6,True
11,6,True
12,6,True
13,6,True
13,7,True
14,7,True
14,8,True
15,8,True
15,9,True
16,9,True
16,10,True
16,11,True
17,11,True
18,11,True
18,12,True
18,13,True
19,13,True
19,14,True
19,15,True
19,16,True
20,16,True
20,17,True
20,18,True
21,18,True
22,18,True
23,18,True
23,19,True
23,20,True
24,20,True
24,21,True
24,22,True
25,22,True
