my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
0,3,True
0,4,True
1,4,True
1,5,True
1,6,True
1,7,True
2,7,True
3,7,True
3,8,True
4,8,True
4,9,True
4,10,True
5,10,True
6,10,True
7,10,True
8,10,True
9,10,True
10,10,True
11,10,True
11,11,True
11,12,True
12,12,True
13,12,True
14,12,True
15,12,True
15,13,True
16,13,True
17,13,True
17,14,True
17,15,True
18,15,True
19,15,True
19,16,True
20,16,True
20,17,True
21,17,True
22,17,True
23,17,True
23,18,True
24,18,True
24,19,True
24,20,True
24,21,True
25,21,True
