my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
2,2,True
3,2,True
4,2,True
5,2,True
5,3,True
5,4,True
6,4,True
6,5,True
7,5,True
8,5,True
8,6,True
8,7,True
8,8,True
8,9,True
8,10,True
8,11,True
9,11,True
9,12,True
10,12,True
10,13,True
11,13,True
11,14,True
12,14,True
12,15,True
12,16,True
13,16,True
14,16,True
14,17,True
15,17,True
15,18,True
16,18,True
16,19,True
16,20,True
17,20,True
17,21,True
18,21,True
19,21,True
20,21,True
21,21,True
21,22,True
21,23,True
22,23,True
23,23,True
23,24,True
24,24,True
25,24,True
25,25,True
25,26,True
26,26,True
27,26,True
28,26,True
