my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
1,4,False
1,5,False
1,6,False
1,7,False
2,7,False
2,8,False
3,8,False
4,8,False
4,9,False
5,9,False
5,10,False
6,10,False
7,10,False
7,11,False
8,11,False
9,11,False
10,11,False
10,12,False
10,13,False
10,14,False
10,15,False
11,15,False
11,16,False
12,16,False
13,16,False
13,17,False
13,18,False
14,18,False
15,18,False
15,19,False
15,20,False
15,21,False
15,22,False
16,22,False
17,22,False
18,22,False
18,23,False
18,24,False
19,24,False
19,25,False
