my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
4,1,True
5,1,True
5,2,True
6,2,True
7,2,True
7,3,True
8,3,True
9,3,True
10,3,True
11,3,True
12,3,True
13,3,True
13,4,True
14,4,True
15,4,True
15,5,True
15,6,True
16,6,True
16,7,True
17,7,True
17,8,True
17,9,True
17,10,True
18,10,True
18,11,True
18,12,True
18,13,True
18,14,True
19,14,True
20,14,True
20,15,True
20,16,True
21,16,True
21,17,True
22,17,True
22,18,True
23,18,True
23,19,True
23,20,True
24,20,True
24,21,True
24,22,True
25,22,True
