my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
3,1,False
3,2,False
4,2,False
4,3,False
5,3,False
5,4,False
5,5,False
6,5,False
7,5,False
7,6,False
8,6,False
8,7,False
8,8,False
9,8,False
9,9,False
9,10,False
9,11,False
10,11,False
11,11,False
12,11,False
12,12,False
12,13,False
13,13,False
13,14,False
13,15,False
13,16,False
13,17,False
13,18,False
14,18,False
15,18,False
15,19,False
16,19,False
17,19,False
18,19,False
19,19,False
19,20,False
19,21,False
19,23,False
20,23,False
20,24,False
21,24,False
21,25,False
