my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
3,9,False
3,10,False
4,10,False
5,10,False
5,11,False
6,11,False
6,12,False
7,12,False
8,12,False
8,13,False
9,13,False
9,14,False
10,14,False
11,14,False
11,15,False
12,15,False
13,15,False
13,16,False
13,17,False
14,17,False
15,17,False
15,18,False
16,18,False
17,18,False
17,19,False
18,19,False
18,20,False
18,21,False
19,21,False
19,22,False
19,23,False
19,24,False
19,25,False
