my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
3,2,False
4,2,False
4,3,False
4,4,False
5,4,False
5,5,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
6,10,False
6,11,False
7,11,False
7,12,False
7,13,False
8,13,False
9,13,False
9,14,False
10,14,False
10,15,False
11,15,False
11,16,False
11,17,False
12,17,False
13,17,False
13,18,False
14,18,False
14,19,False
15,19,False
16,19,False
16,20,False
16,21,False
17,21,False
17,22,False
17,23,False
18,23,False
18,24,False
18,25,False
