my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
2,3,True
2,4,True
2,5,True
2,6,True
3,6,True
3,7,True
3,8,True
3,9,True
4,9,True
5,9,True
5,10,True
6,10,True
6,11,True
7,11,True
7,12,True
7,13,True
8,13,True
9,13,True
9,14,True
10,14,True
11,14,True
11,15,True
12,15,True
12,16,True
13,16,True
14,16,True
14,17,True
15,17,True
15,18,True
16,18,True
16,19,True
16,20,True
17,20,True
17,21,True
18,21,True
18,22,True
19,22,True
19,23,True
20,23,True
20,24,True
21,24,True
22,24,True
23,24,True
24,24,True
25,24,True
26,24,True
