my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
2,3,False
2,4,False
2,5,False
3,5,False
3,6,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
7,10,False
8,10,False
8,11,False
9,11,False
9,12,False
10,12,False
11,12,False
12,12,False
13,12,False
14,12,False
14,13,False
14,14,False
15,14,False
16,14,False
16,15,False
17,15,False
17,16,False
18,16,False
18,17,False
18,18,False
19,18,False
20,18,False
20,19,False
21,19,False
21,20,False
22,20,False
22,21,False
23,21,False
23,22,False
23,23,False
23,24,False
24,24,False
25,24,False
25,25,False
26,25,False
26,26,False
27,26,False
27,27,False
28,27,False
28,28,False
29,28,False
29,29,False
30,29,False
30,30,False
31,30,False
31,31,False
32,31,False
32,32,False
33,32,False
33,33,False
33,34,False
34,34,False
34,35,False
35,35,False
36,35,False
36,36,False
36,37,False
36,38,False
