my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
7,5,True
7,6,True
7,7,True
8,7,True
8,8,True
9,8,True
9,9,True
9,10,True
10,10,True
10,11,True
11,11,True
12,11,True
13,11,True
13,12,True
14,12,True
14,13,True
15,13,True
15,14,True
16,14,True
17,14,True
17,15,True
17,16,True
18,16,True
19,16,True
20,16,True
20,17,True
20,18,True
21,18,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
23,22,True
24,22,True
24,23,True
24,24,True
25,24,True
25,25,True
26,25,True
26,26,True
27,26,True
27,27,True
28,27,True
28,28,True
28,29,True
29,29,True
30,29,True
30,30,True
31,30,True
32,30,True
