my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
2,3,True
3,3,True
3,4,True
3,5,True
4,5,True
4,6,True
5,6,True
6,6,True
7,6,True
7,7,True
7,8,True
7,9,True
8,9,True
8,10,True
9,10,True
9,11,True
10,11,True
11,11,True
12,11,True
13,11,True
13,12,True
13,13,True
14,13,True
14,14,True
15,14,True
15,15,True
16,15,True
17,15,True
17,16,True
17,17,True
18,17,True
18,18,True
19,18,True
19,19,True
19,20,True
20,20,True
20,21,True
21,21,True
22,21,True
22,22,True
23,22,True
24,22,True
25,22,True
