my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
3,1,False
3,2,False
3,3,False
4,3,False
5,3,False
6,3,False
7,3,False
7,4,False
7,5,False
7,6,False
7,7,False
8,7,False
8,8,False
9,8,False
10,8,False
11,8,False
11,9,False
12,9,False
12,10,False
13,10,False
13,11,False
13,12,False
14,12,False
14,13,False
14,14,False
14,15,False
14,16,False
14,17,False
15,17,False
15,18,False
16,18,False
16,19,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
20,21,False
20,22,False
21,22,False
21,23,False
21,24,False
22,24,False
22,25,False
