my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
3,2,False
3,3,False
3,4,False
3,5,False
4,5,False
4,6,False
4,7,False
5,7,False
6,7,False
6,8,False
6,9,False
7,9,False
7,10,False
7,11,False
7,12,False
7,13,False
7,14,False
8,14,False
8,15,False
8,16,False
9,16,False
9,17,False
10,17,False
10,18,False
11,18,False
12,18,False
13,18,False
13,19,False
14,19,False
14,20,False
15,20,False
15,21,False
16,21,False
17,21,False
18,21,False
19,21,False
19,22,False
20,22,False
20,23,False
20,24,False
21,24,False
22,24,False
23,24,False
24,24,False
25,24,False
25,25,False
25,26,False
26,26,False
26,27,False
27,27,False
27,28,False
28,28,False
29,28,False
29,29,False
30,29,False
30,30,False
30,31,False
30,32,False
