my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
3,2,True
4,2,True
4,3,True
4,4,True
4,5,True
5,5,True
5,6,True
6,6,True
6,7,True
6,8,True
6,9,True
6,10,True
7,10,True
7,11,True
8,11,True
8,12,True
8,13,True
9,13,True
10,13,True
10,14,True
10,15,True
10,16,True
11,16,True
12,16,True
13,16,True
14,16,True
15,16,True
15,17,True
16,17,True
16,18,True
17,18,True
18,18,True
18,19,True
19,19,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
22,22,True
23,22,True
23,23,True
24,23,True
25,23,True
