my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
5,10,False
6,10,False
7,10,False
7,11,False
7,12,False
7,13,False
8,13,False
9,13,False
9,14,False
10,14,False
11,14,False
12,14,False
12,15,False
13,15,False
14,15,False
14,16,False
15,16,False
16,16,False
16,17,False
17,17,False
18,17,False
19,17,False
20,17,False
20,18,False
21,18,False
21,19,False
22,19,False
22,20,False
23,20,False
23,21,False
24,21,False
24,22,False
24,23,False
24,24,False
25,24,False
25,25,False
26,25,False
26,26,False
27,26,False
27,27,False
28,27,False
28,28,False
28,29,False
29,29,False
29,30,False
29,31,False
