my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
3,0,False
4,0,False
4,1,False
4,2,False
5,2,False
5,3,False
5,4,False
6,4,False
6,5,False
7,5,False
8,5,False
8,6,False
9,6,False
9,7,False
9,8,False
10,8,False
11,8,False
11,9,False
11,10,False
11,11,False
11,12,False
11,13,False
12,13,False
13,13,False
13,14,False
14,14,False
14,15,False
15,15,False
16,15,False
16,16,False
16,17,False
16,18,False
17,18,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
19,22,False
19,23,False
20,23,False
20,24,False
21,24,False
22,24,False
22,25,False
