my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
2,3,True
3,3,True
3,4,True
4,4,True
4,5,True
5,5,True
6,5,True
7,5,True
8,5,True
9,5,True
9,6,True
10,6,True
11,6,True
12,6,True
13,6,True
13,7,True
13,8,True
13,9,True
14,9,True
15,9,True
15,10,True
16,10,True
16,11,True
16,12,True
16,13,True
17,13,True
17,14,True
18,14,True
18,15,True
19,15,True
19,16,True
20,16,True
20,17,True
21,17,True
21,18,True
22,18,True
22,19,True
23,19,True
23,20,True
23,21,True
23,22,True
23,23,True
24,23,True
24,24,True
25,24,True
25,25,True
25,26,True
26,26,True
27,26,True
28,26,True
