my_score,opponent_score,win
0,0,True
26,20,True
27,20,True
27,21,True
28,21,True
28,22,True
29,22,True
30,22,True
31,22,True
31,23,True
31,24,True
31,25,True
31,26,True
32,26,True
33,26,True
33,27,True
34,27,True
34,28,True
35,28,True
36,28,True
36,29,True
36,30,True
37,30,True
37,31,True
37,32,True
38,32,True
38,33,True
39,34,True
39,35,True
40,35,True
41,35,True
42,35,True
43,35,True
44,35,True
44,36,True
44,37,True
45,37,True
45,38,True
46,38,True
46,39,True
47,39,True
48,39,True
49,39,True
49,40,True
50,40,True
