my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
5,4,False
6,4,False
6,5,False
6,6,False
7,6,False
7,7,False
8,7,False
9,7,False
9,8,False
9,9,False
10,9,False
11,9,False
11,10,False
12,10,False
12,11,False
13,11,False
14,11,False
14,12,False
15,12,False
15,13,False
16,13,False
16,14,False
16,15,False
17,15,False
17,16,False
18,16,False
18,17,False
19,17,False
19,18,False
19,19,False
19,20,False
19,21,False
19,22,False
19,23,False
20,23,False
20,24,False
21,24,False
22,24,False
23,24,False
24,24,False
24,25,False
24,26,False
