my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
0,4,False
0,5,False
0,6,False
0,7,False
0,8,False
1,8,False
1,9,False
2,9,False
2,10,False
3,10,False
4,10,False
4,11,False
5,11,False
5,12,False
6,12,False
6,13,False
6,14,False
7,14,False
8,14,False
8,15,False
9,15,False
9,16,False
10,16,False
11,16,False
12,16,False
13,16,False
13,17,False
13,18,False
14,18,False
14,19,False
14,20,False
15,20,False
15,21,False
16,21,False
16,22,False
16,23,False
16,24,False
17,24,False
18,24,False
19,24,False
19,25,False
