my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
2,4,True
2,5,True
3,5,True
3,6,True
4,6,True
5,6,True
5,7,True
6,8,True
6,9,True
7,9,True
8,9,True
9,9,True
9,10,True
10,10,True
10,11,True
11,11,True
12,11,True
12,12,True
13,12,True
13,13,True
14,13,True
14,14,True
15,14,True
15,15,True
16,15,True
16,16,True
16,17,True
17,17,True
17,18,True
18,18,True
19,18,True
20,18,True
21,18,True
21,19,True
22,19,True
23,19,True
23,20,True
23,21,True
23,22,True
23,23,True
25,22,True
