my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
2,3,False
2,4,False
2,5,False
2,6,False
3,6,False
3,7,False
3,8,False
4,8,False
4,9,False
5,9,False
5,10,False
6,10,False
6,11,False
7,11,False
7,12,False
8,12,False
8,13,False
8,14,False
9,14,False
9,15,False
10,15,False
11,15,False
12,15,False
13,15,False
14,15,False
15,15,False
16,15,False
16,16,False
17,16,False
17,17,False
17,18,False
17,19,False
18,19,False
18,20,False
18,21,False
19,21,False
19,22,False
20,22,False
21,22,False
21,23,False
22,23,False
22,24,False
23,24,False
23,25,False
