my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
1,4,False
1,5,False
2,5,False
3,5,False
3,6,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
6,9,False
6,10,False
6,11,False
7,11,False
8,11,False
9,12,False
10,12,False
10,13,False
11,13,False
11,14,False
12,14,False
13,14,False
14,14,False
14,15,False
15,15,False
15,16,False
16,16,False
16,17,False
16,18,False
17,18,False
17,19,False
18,19,False
18,20,False
18,21,False
19,21,False
20,21,False
20,22,False
21,22,False
22,22,False
22,23,False
22,24,False
23,24,False
23,25,False
