my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
3,1,False
3,2,False
4,2,False
5,2,False
6,2,False
6,3,False
7,3,False
8,3,False
8,4,False
9,4,False
9,5,False
9,6,False
10,6,False
11,6,False
11,7,False
11,8,False
12,8,False
13,8,False
14,8,False
15,8,False
15,9,False
15,10,False
16,10,False
16,11,False
17,11,False
17,12,False
17,13,False
17,14,False
18,14,False
18,15,False
19,15,False
20,16,False
20,17,False
20,18,False
21,18,False
21,19,False
21,20,False
21,21,False
21,22,False
22,22,False
23,22,False
23,23,False
23,24,False
24,24,False
25,24,False
25,25,False
25,26,False
25,27,False
