my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
1,4,False
2,4,False
2,5,False
2,6,False
3,6,False
4,6,False
4,7,False
5,7,False
5,8,False
5,9,False
5,10,False
6,10,False
7,10,False
7,11,False
8,11,False
9,11,False
9,12,False
9,13,False
9,14,False
9,15,False
9,16,False
10,16,False
10,17,False
11,17,False
11,18,False
12,18,False
12,19,False
13,19,False
13,20,False
14,20,False
15,20,False
15,21,False
16,21,False
16,22,False
17,22,False
18,22,False
18,23,False
19,23,False
20,23,False
20,24,False
20,25,False
