my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
2,2,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
4,6,False
5,6,False
6,6,False
6,7,False
6,8,False
6,9,False
6,10,False
7,10,False
7,11,False
8,11,False
9,11,False
9,12,False
10,12,False
11,12,False
11,13,False
12,13,False
12,14,False
12,15,False
13,15,False
14,15,False
14,16,False
14,17,False
15,17,False
15,18,False
16,18,False
17,18,False
18,18,False
18,19,False
19,19,False
20,19,False
20,20,False
20,21,False
20,22,False
20,23,False
20,24,False
21,24,False
21,25,False
