my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
0,4,False
0,5,False
0,6,False
0,7,False
0,8,False
1,8,False
1,9,False
2,9,False
2,10,False
2,11,False
3,11,False
3,12,False
4,12,False
4,13,False
5,13,False
5,14,False
5,15,False
5,16,False
6,16,False
7,16,False
8,16,False
8,17,False
9,17,False
9,18,False
10,18,False
10,19,False
11,19,False
12,19,False
13,19,False
13,20,False
14,20,False
14,21,False
14,22,False
15,22,False
16,22,False
16,23,False
17,23,False
18,23,False
18,24,False
19,24,False
19,25,False
