my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
2,3,False
3,3,False
3,4,False
3,5,False
4,5,False
5,5,False
5,6,False
5,7,False
5,8,False
5,9,False
6,9,False
6,10,False
7,10,False
7,11,False
8,11,False
8,12,False
9,12,False
9,13,False
10,13,False
10,14,False
11,14,False
12,14,False
13,14,False
13,15,False
13,16,False
14,16,False
14,17,False
14,18,False
15,18,False
15,19,False
16,19,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
19,22,False
19,23,False
19,24,False
20,24,False
20,25,False
