my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
3,1,False
4,1,False
4,2,False
5,2,False
5,3,False
6,3,False
6,4,False
6,5,False
6,6,False
6,7,False
7,7,False
8,7,False
8,8,False
9,8,False
9,9,False
9,10,False
9,11,False
10,11,False
10,12,False
11,12,False
11,13,False
12,13,False
12,14,False
13,14,False
13,15,False
13,16,False
14,16,False
14,17,False
15,17,False
15,18,False
15,19,False
15,20,False
15,21,False
16,21,False
17,21,False
17,22,False
17,23,False
17,24,False
18,24,False
18,25,False
