my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
2,3,False
3,3,False
4,3,False
4,4,False
5,4,False
5,5,False
5,6,False
6,6,False
6,7,False
7,7,False
8,7,False
8,8,False
8,9,False
8,10,False
8,11,False
9,11,False
9,12,False
10,12,False
11,12,False
12,12,False
12,13,False
13,13,False
13,14,False
13,15,False
13,16,False
13,17,False
14,17,False
14,18,False
15,18,False
15,19,False
16,19,False
16,20,False
16,21,False
17,21,False
17,22,False
17,23,False
18,23,False
18,24,False
19,24,False
20,24,False
20,25,False
