my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
2,2,True
3,2,True
3,3,True
3,4,True
4,4,True
5,4,True
5,5,True
6,5,True
6,6,True
7,6,True
7,7,True
7,8,True
8,8,True
9,8,True
9,9,True
9,10,True
9,11,True
10,11,True
11,11,True
12,11,True
12,12,True
13,12,True
14,12,True
14,13,True
15,13,True
15,14,True
15,15,True
15,16,True
15,17,True
16,17,True
17,17,True
17,18,True
17,19,True
18,19,True
18,20,True
19,20,True
19,21,True
20,21,True
21,21,True
21,22,True
22,22,True
23,22,True
24,22,True
24,23,True
25,23,True
