my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
2,3,False
2,4,False
2,5,False
2,6,False
3,6,False
3,7,False
4,7,False
4,8,False
5,8,False
5,9,False
6,9,False
6,10,False
7,10,False
8,10,False
9,10,False
9,11,False
10,11,False
10,12,False
11,12,False
11,13,False
11,14,False
12,14,False
13,14,False
14,14,False
14,15,False
15,15,False
15,16,False
16,16,False
16,17,False
17,17,False
17,18,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
20,21,False
21,21,False
21,22,False
22,22,False
23,22,False
23,23,False
23,24,False
24,24,False
25,24,False
25,25,False
26,25,False
26,26,False
27,26,False
27,27,False
27,28,False
27,29,False
